0,1,2,3,4
"Continent, region or",AEI CULT,ICWU REN,ICWU AWWD,ICWU GW REN
sub-region,,,,
Africa,5.5,2.5,0.53,1.3
Northern Africa,22.9,139.5,0.82,106.1
Sub-Saharan Africa,3.3,0.8,0.31,0.2
Central Africa,0.6,< 0.1,0.42,< 0.1
Eastern Africa,1.5,1.0,0.24,0.1
Gulf of Guinea,0.9,0.2,0.25,0.2
Indian Ocean Islands,29.3,0.8,0.19,< 0.1
Southern Africa,6.1,4.2,0.76,1.1
Sudano-Sahelian,4.9,8.1,0.25,1.1
America,12.4,1.2,0.58,n.a.
Central America and,12.3,0.5,0.28,n.a.
Caribbean,,,,
Caribbean – Greater Antilles,19.3,2.0,0.19,2.1
Caribbean – Lesser Antilles,9.2,0.6,0.56,n.a.
Central America,6.5,0.4,0.41,0.4
Northern America,14.1,3.1,0.71,5.5
Mexico,23.9,6.6,0.45,8.2
Northern America,12.9,2.8,0.79,5.3
Southern America,9.2,0.3,0.31,0.2
Andean,23.6,0.3,0.34,0.2
Brazil,4.7,0.2,0.26,0.1
Guyana,39.0,0.1,0.19,< 0.1
Southern America,9.8,0.8,0.32,0.4
Asia,36.9,7.2,0.45,14.4
Central Asia,36.5,25.7,0.45,8.4
Middle East,36.6,27.0,0.58,43.3
Arabian Peninsula,49.1,385.6,0.81,401.1
Caucasus,68.4,9.2,0.55,1.8
Islamic Republic of Iran,44.7,36.6,0.55,61.2
Near East,27.9,19.4,0.54,24.2
Southern and Eastern Asia,37.0,5.9,0.43,12.7
East Asia,41.5,4.9,0.33,6.5
Mainland Southeast Asia,27.7,2.1,0.22,0.8
Maritime Southeast Asia,14.8,0.5,0.23,0.1
South Asia,41.6,26.6,0.57,49.4
Europe,7.7,0.7,0.44,1.4
Eastern Europe,2.9,0.1,0.14,0.1
Eastern Europe,5.6,1.9,0.12,< 0.1
Russian Federation,1.9,0.1,0.18,0.1
Western and Central Europe,14.1,2.0,0.58,3.5
Central Europe,5.9,0.7,0.57,0.4
Mediterranean Europe,30.6,8.6,0.59,16.2
Northern Europe,10.6,< 0.1,0.11,< 0.1
Western Europe,9.6,0.7,0.51,1.0
Oceania,8.6,1.8,0.84,n.a.
Australia and New Zealand,8.7,1.9,0.84,n.a.
Other Pacific Islands,0.6,< 0.1,0.01,n.a.
WORLD,19.4,3.0,0.48,n.a.
